页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type,reason
鲲鹏,22,ISA-L,基础库&加速库,https://github.com/intel/isa-l,,repo,github.com/intel/isa-l
鲲鹏,23,EMU,ARM应用支持,https://github.com/treangenlab/emu,,repo,github.com/treangenlab/emu
鲲鹏,24,Mesa,ARM应用支持,https://gitlab.freedesktop.org/mesa/mesa,,repo,gitlab.freedesktop.org/mesa/mesa
鲲鹏,25,Binder,ARM应用支持,https://github.com/kupferlauncher/keybinder,,repo,github.com/kupferlauncher/keybinder
鲲鹏,26,LLVM,ARM应用支持,https://github.com/llvm/llvm-project,,repo,github.com/llvm/llvm-project
鲲鹏,27,libdrm,ARM应用支持,https://gitlab.freedesktop.org/mesa/drm,,repo,gitlab.freedesktop.org/mesa/drm
鲲鹏,28,musl,ARM应用支持,https://git.musl-libc.org/cgit/musl,,repo,git.musl-libc.org (专用 git/svn 服务器)
鲲鹏,29,OpenH264,ARM应用支持,https://github.com/cisco/openh264,,repo,github.com/cisco/openh264
鲲鹏,30,Opus,ARM应用支持,https://github.com/xiph/opus,,repo,github.com/xiph/opus
鲲鹏,31,cJSON,ARM应用支持,https://github.com/DaveGamble/cJSON,,repo,github.com/DaveGamble/cJSON
鲲鹏,32,libyuv-android,ARM应用支持,https://github.com/crow-misia/libyuv-android,,repo,github.com/crow-misia/libyuv-android
鲲鹏,33,benchmark,ARM应用支持,https://github.com/google/benchmark,,repo,github.com/google/benchmark
鲲鹏,34,OpenCV,ARM应用支持,https://github.com/opencv/opencv,,repo,github.com/opencv/opencv
鲲鹏,35,Ffmpeg,ARM应用支持,https://git.ffmpeg.org/ffmpeg.git,,repo,.git URL: https://git.ffmpeg.org/ffmpeg.git
鲲鹏,36,libjpeg-turbo,ARM应用支持,https://github.com/libjpeg-turbo/libjpeg-turbo,,repo,github.com/libjpeg-turbo/libjpeg-turbo
鲲鹏,37,Hadoop,大数据,https://github.com/apache/hadoop,,repo,github.com/apache/hadoop
鲲鹏,38,Spark,大数据,https://github.com/apache/spark,,repo,github.com/apache/spark
鲲鹏,39,Hive,大数据,https://github.com/apache/hive,,repo,github.com/apache/hive
鲲鹏,40,HBase,大数据,https://github.com/apache/hbase,,repo,github.com/apache/hbase
鲲鹏,41,ElasticSearch,大数据,https://github.com/elastic/elasticsearch,,repo,github.com/elastic/elasticsearch
鲲鹏,42,Flink,大数据,https://github.com/apache/flink,,repo,github.com/apache/flink
鲲鹏,43,Kafka,大数据,https://github.com/apache/kafka,,repo,github.com/apache/kafka
鲲鹏,44,Storm,大数据,https://github.com/apache/storm,,repo,github.com/apache/storm
鲲鹏,45,Redis,大数据,https://github.com/redis/redis,,repo,github.com/redis/redis
鲲鹏,46,Impala,大数据,https://github.com/apache/impala,,repo,github.com/apache/impala
鲲鹏,47,Zookeeper,大数据,https://github.com/apache/zookeeper,,repo,github.com/apache/zookeeper
鲲鹏,48,ClickHouse,大数据,https://github.com/ClickHouse/ClickHouse,,repo,github.com/ClickHouse/ClickHouse
鲲鹏,49,Alluxio,大数据,https://github.com/Alluxio/alluxio,,repo,github.com/Alluxio/alluxio
鲲鹏,50,Ranger,大数据,https://github.com/ranger/ranger,,repo,github.com/ranger/ranger
鲲鹏,51,Tez,大数据,https://github.com/apache/tez,,repo,github.com/apache/tez
鲲鹏,52,Flume,大数据,https://github.com/apache/logging-flume,,repo,github.com/apache/logging-flume
鲲鹏,53,Oozie,大数据,https://github.com/apache/oozie,,repo,github.com/apache/oozie
鲲鹏,54,Solr,大数据,https://github.com/apache/solr,,repo,github.com/apache/solr
鲲鹏,55,Presto,大数据,https://github.com/prestodb/presto,,repo,github.com/prestodb/presto
鲲鹏,56,Kylin,大数据,https://github.com/apache/kylin,,repo,github.com/apache/kylin
鲲鹏,57,Accumulo,大数据,https://github.com/apache/accumulo,,repo,github.com/apache/accumulo
鲲鹏,58,Avro,大数据,https://github.com/apache/avro,,repo,github.com/apache/avro
鲲鹏,59,logstash,大数据,https://github.com/elastic/logstash,,repo,github.com/elastic/logstash
鲲鹏,60,Kibana,大数据,https://github.com/elastic/kibana,,repo,github.com/elastic/kibana
鲲鹏,61,Knox,大数据,https://github.com/Automattic/knox,,repo,github.com/Automattic/knox
鲲鹏,62,Pig,大数据,https://github.com/apache/pig,,repo,github.com/apache/pig
鲲鹏,63,Atlas,大数据,https://github.com/apache/atlas,,repo,github.com/apache/atlas
鲲鹏,64,Livy,大数据,https://github.com/apache/incubator-livy,,repo,github.com/apache/incubator-livy
鲲鹏,65,Parquet,大数据,https://github.com/apache/parquet-java/,,repo,github.com/apache/parquet-java
鲲鹏,66,Mesos,大数据,https://github.com/apache/mesos,,repo,github.com/apache/mesos
鲲鹏,67,Thrift,大数据,https://github.com/apache/thrift,,repo,github.com/apache/thrift
鲲鹏,68,Drill,大数据,https://github.com/apache/drill,,repo,github.com/apache/drill
鲲鹏,69,Druid,大数据,https://github.com/apache/druid,,repo,github.com/apache/druid
鲲鹏,70,Phoenix,大数据,https://github.com/apache/phoenix,,repo,github.com/apache/phoenix
鲲鹏,71,Lucene,大数据,https://github.com/apache/lucene,,repo,github.com/apache/lucene
鲲鹏,72,TDengine,大数据,https://github.com/taosdata/TDengine,,repo,github.com/taosdata/TDengine
鲲鹏,73,Arrow,大数据,https://github.com/apache/arrow,,repo,github.com/apache/arrow
鲲鹏,74,Kudu,大数据,https://github.com/apache/kudu,,repo,github.com/apache/kudu
鲲鹏,75,Kyuubi,大数据,https://github.com/apache/kyuubi,,repo,github.com/apache/kyuubi
鲲鹏,76,Ceph,分布式存储,https://github.com/ceph/ceph,,repo,github.com/ceph/ceph
鲲鹏,77,GlusterFS,分布式存储,https://github.com/gluster/glusterfs,,repo,github.com/gluster/glusterfs
鲲鹏,78,Lustre,分布式存储,https://git.whamcloud.com/,,repo,git.whamcloud.com (专用 git/svn 服务器)
鲲鹏,79,FastDFS,分布式存储,https://github.com/greduan/emacs-theme-gruvbox,,repo,github.com/greduan/emacs-theme-gruvbox
鲲鹏,80,MinIO,分布式存储,https://github.com/minio/minio,,repo,github.com/minio/minio
鲲鹏,81,MooseFS,分布式存储,https://github.com/moosefs/moosefs,,repo,github.com/moosefs/moosefs
鲲鹏,82,LizardFS,分布式存储,https://github.com/lizardfs/lizardfs,,repo,github.com/lizardfs/lizardfs
鲲鹏,83,Sheepdog,分布式存储,https://github.com/sheepdog/sheepdog,,repo,github.com/sheepdog/sheepdog
鲲鹏,84,DRBD,分布式存储,https://github.com/LINBIT/drbd,,repo,github.com/LINBIT/drbd
鲲鹏,85,DAOS,分布式存储,https://github.com/daos-stack/daos,,repo,github.com/daos-stack/daos
鲲鹏,86,CURVE,分布式存储,https://github.com/opencurve/curve,,repo,github.com/opencurve/curve
鲲鹏,87,SeaweedFS,分布式存储,https://github.com/seaweedfs/seaweedfs,,repo,github.com/seaweedfs/seaweedfs
鲲鹏,88,Docker,虚拟化,https://github.com/nextcloud/docker,,repo,github.com/nextcloud/docker
鲲鹏,89,Kubernetes,虚拟化,https://github.com/kubernetes/kubernetes,,repo,github.com/kubernetes/kubernetes
鲲鹏,90,libvirt,虚拟化,https://github.com/libvirt/libvirt,,repo,github.com/libvirt/libvirt
鲲鹏,91,OpenStack,虚拟化,https://opendev.org/openstack,,organization,"opendev.org/openstack (单段路径, 视为组织/用户根)"
鲲鹏,92,KVM,虚拟化,https://git.kernel.org/pub/scm/virt/kvm/kvm.git,,repo,.git URL: https://git.kernel.org/pub/scm/virt/kvm/kvm.git
鲲鹏,93,Open vSwitch,虚拟化,https://github.com/openvswitch/ovs,,repo,github.com/openvswitch/ovs
鲲鹏,94,QEMU,虚拟化,https://gitlab.com/qemu-project/qemu,,repo,gitlab.com/qemu-project/qemu
鲲鹏,95,Ovirt,虚拟化,https://github.com/oVirt/ovirt-engine,,repo,github.com/oVirt/ovirt-engine
鲲鹏,96,Stratovirt,虚拟化,https://atomgit.com/openeuler/stratovirt,,repo,atomgit.com/openeuler/stratovirt
鲲鹏,97,Calico,虚拟化,https://github.com/projectcalico/calico,,repo,github.com/projectcalico/calico
鲲鹏,98,Flannel,虚拟化,https://github.com/flannel-io/flannel,,repo,github.com/flannel-io/flannel
鲲鹏,99,CoreDNS,虚拟化,https://github.com/coredns/coredns,,repo,github.com/coredns/coredns
鲲鹏,100,Containerd,虚拟化,https://github.com/containerd/containerd,,repo,github.com/containerd/containerd
鲲鹏,101,Prometheus,虚拟化,https://github.com/prometheus/prometheus,,repo,github.com/prometheus/prometheus
鲲鹏,102,lstio,虚拟化,https://github.com/istio/istio,,repo,github.com/istio/istio
鲲鹏,103,Envoy,虚拟化,https://github.com/envoyproxy/envoy,,repo,github.com/envoyproxy/envoy
鲲鹏,104,iSula,虚拟化,https://atomgit.com/openeuler/iSulad,,repo,atomgit.com/openeuler/iSulad
鲲鹏,105,harbor,虚拟化,https://github.com/goharbor/harbor,,repo,github.com/goharbor/harbor
鲲鹏,106,Apache HTTP Server,Web,https://github.com/apache/httpd,,repo,github.com/apache/httpd
鲲鹏,107,Tomcat,Web,https://github.com/apache/tomcat,,repo,github.com/apache/tomcat
鲲鹏,108,Varnish,Web,https://github.com/varnishcache/varnish-cache,,repo,github.com/varnishcache/varnish-cache
鲲鹏,109,JBOSS,Web,https://github.com/wildfly/wildfly,,repo,github.com/wildfly/wildfly
鲲鹏,110,HAProxy,Web,https://github.com/haproxy/haproxy,,repo,github.com/haproxy/haproxy
鲲鹏,111,Memcached,Web,https://github.com/memcached/memcached,,repo,github.com/memcached/memcached
鲲鹏,112,Nginx,Web,https://github.com/nginx/nginx,,repo,github.com/nginx/nginx
鲲鹏,113,.NET Core,Web,https://github.com/dotnet/core,,repo,github.com/dotnet/core
鲲鹏,114,ATS,Web,https://github.com/apache/trafficserver,,repo,github.com/apache/trafficserver
鲲鹏,115,Jetty,Web,https://github.com/jetty/jetty.project,,repo,github.com/jetty/jetty.project
鲲鹏,116,Keepalived,Web,https://github.com/acassen/keepalived,,repo,github.com/acassen/keepalived
鲲鹏,117,Spring Cloud,Web,https://github.com/spring-cloud,,organization,github.com/spring-cloud (API: Organization)
鲲鹏,118,Dubbo,Web,https://github.com/apache/dubbo,,repo,github.com/apache/dubbo
鲲鹏,119,Squid,Web,https://github.com/squid-cache/squid,,repo,github.com/squid-cache/squid
鲲鹏,120,Glassfish,Web,https://github.com/eclipse-ee4j/glassfish,,repo,github.com/eclipse-ee4j/glassfish
鲲鹏,121,Node.js,Web,https://github.com/nodejs/node,,repo,github.com/nodejs/node
鲲鹏,122,chromium,Web,https://chromium.googlesource.com/chromium,,repo,chromium.googlesource.com (googlesource 项目)
鲲鹏,123,Django,Web,https://github.com/django/django,,repo,github.com/django/django
鲲鹏,124,fcgi,Web,https://github.com/FastCGI-Archives/fcgi2,,repo,github.com/FastCGI-Archives/fcgi2
鲲鹏,125,Mongoose,Web,https://github.com/Automattic/mongoose,,repo,github.com/Automattic/mongoose
鲲鹏,126,Nagios,Web,https://github.com/NagiosEnterprises/nagioscore,,repo,github.com/NagiosEnterprises/nagioscore
鲲鹏,127,uWSGI,Web,https://github.com/unbit/uwsgi,,repo,github.com/unbit/uwsgi
鲲鹏,128,Spring Framework,Web,https://github.com/spring-projects/spring-framework,,repo,github.com/spring-projects/spring-framework
鲲鹏,129,Spring Boot,Web,https://github.com/spring-projects/spring-boot,,repo,github.com/spring-projects/spring-boot
鲲鹏,130,Tengine,Web,https://github.com/alibaba/tengine,,repo,github.com/alibaba/tengine
鲲鹏,131,LVS,Web,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,,repo,.git URL: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git
鲲鹏,132,MySQL,数据库,https://github.com/mysql/mysql-server,,repo,github.com/mysql/mysql-server
鲲鹏,133,MariaDB,数据库,https://github.com/MariaDB/server,,repo,github.com/MariaDB/server
鲲鹏,134,PostgreSQL,数据库,https://git.postgresql.org/git/postgresql.git,,repo,.git URL: https://git.postgresql.org/git/postgresql.git
鲲鹏,135,MongoDB,数据库,https://github.com/mongodb/mongo,,repo,github.com/mongodb/mongo
鲲鹏,136,RocksDB,数据库,https://github.com/facebook/rocksdb,,repo,github.com/facebook/rocksdb
鲲鹏,137,TiDB,数据库,https://github.com/pingcap/tidb,,repo,github.com/pingcap/tidb
鲲鹏,138,InfluxDB,数据库,https://github.com/influxdata/influxdb,,repo,github.com/influxdata/influxdb
鲲鹏,139,SQLite,数据库,https://sqlite.org/src,,repo,项目官网/其他URL: sqlite.org
鲲鹏,140,Cassandra,数据库,https://github.com/apache/cassandra,,repo,github.com/apache/cassandra
鲲鹏,141,etcd,数据库,https://github.com/etcd-io/etcd,,repo,github.com/etcd-io/etcd
鲲鹏,142,LevelDB,数据库,https://github.com/google/leveldb,,repo,github.com/google/leveldb
鲲鹏,143,OrientDB,数据库,https://github.com/orientechnologies/orientdb,,repo,github.com/orientechnologies/orientdb
鲲鹏,144,Neo4j,数据库,https://github.com/neo4j/neo4j,,repo,github.com/neo4j/neo4j
鲲鹏,145,gcc,基础库&加速库,https://github.com/gcc-mirror/gcc,,repo,github.com/gcc-mirror/gcc
鲲鹏,146,OpenJDK,基础库&加速库,https://github.com/openjdk/jdk,,repo,github.com/openjdk/jdk
鲲鹏,147,CMake,基础库&加速库,https://gitlab.kitware.com/cmake/cmake,,repo,gitlab.kitware.com/cmake/cmake
鲲鹏,148,Clang,基础库&加速库,https://github.com/llvm/llvm-project,,repo,github.com/llvm/llvm-project
鲲鹏,149,GDB,基础库&加速库,https://ftp.gnu.org/gnu/gdb/,,repo,ftp.gnu.org/gnu/gdb
鲲鹏,150,Maven,基础库&加速库,https://github.com/apache/maven,,repo,github.com/apache/maven
鲲鹏,151,Ant,基础库&加速库,https://github.com/apache/ant,,repo,github.com/apache/ant
鲲鹏,152,Scala,基础库&加速库,https://github.com/scala/scala,,repo,github.com/scala/scala
鲲鹏,153,Python,基础库&加速库,https://github.com/python,,organization,github.com/python (API: Organization)
鲲鹏,154,Golang,基础库&加速库,https://github.com/golang/go,,repo,github.com/golang/go
鲲鹏,155,Lua,基础库&加速库,https://www.lua.org/source/,,repo,项目官网/其他URL: www.lua.org
鲲鹏,156,Perl,基础库&加速库,https://github.com/Perl/perl5,,repo,github.com/Perl/perl5
鲲鹏,157,Ruby,基础库&加速库,https://github.com/ruby/ruby,,repo,github.com/ruby/ruby
鲲鹏,158,R,基础库&加速库,https://svn.r-project.org/R/,,repo,svn.r-project.org (专用 git/svn 服务器)
鲲鹏,159,Gradle,基础库&加速库,https://github.com/gradle/gradle,,repo,github.com/gradle/gradle
鲲鹏,160,Erlang,基础库&加速库,https://github.com/erlang/otp,,repo,github.com/erlang/otp
鲲鹏,161,Google Test,基础库&加速库,https://github.com/google/googletest,,repo,github.com/google/googletest
鲲鹏,162,SKLearn,基础库&加速库,https://github.com/scikit-learn/scikit-learn,,repo,github.com/scikit-learn/scikit-learn
鲲鹏,163,APR-util,基础库&加速库,https://github.com/apache/apr-util,,repo,github.com/apache/apr-util
鲲鹏,164,TypeScript,基础库&加速库,https://github.com/microsoft/TypeScript,,repo,github.com/microsoft/TypeScript
鲲鹏,165,Git,基础库&加速库,https://github.com/git/git,,repo,github.com/git/git
鲲鹏,166,Jenkins,基础库&加速库,https://github.com/jenkinsci/jenkins,,repo,github.com/jenkinsci/jenkins
