页签,序号,项目名称,分类,上游地址,entity_type,source,expanded_from_org,stars,forks,pushed_at,score,language,description,reason
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,repo,repo,,,,,,,,
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,repo,repo,,,,,,,,
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,repo,repo,,,,,,,,
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,repo,repo,,,,,,,,
昇腾,45,X402,应用加速,https://github.com/x402-foundation/x402,repo,repo,,,,,,,,
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,repo,repo,,,,,,,,
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,repo,repo,,,,,,,,
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,repo,repo,,,,,,,,
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,repo,repo,,,,,,,,
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,repo,repo,,,,,,,,
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,repo,repo,,,,,,,,
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,repo,repo,,,,,,,,
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,repo,repo,,,,,,,,
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,repo,repo,,,,,,,,
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,repo,repo,,,,,,,,
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,repo,repo,,,,,,,,
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,repo,repo,,,,,,,,
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,repo,repo,,,,,,,,
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,repo,repo,,,,,,,,
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,repo,repo,,,,,,,,
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,repo,repo,,,,,,,,
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,repo,repo,,,,,,,,
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,repo,repo,,,,,,,,
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,repo,repo,,,,,,,,
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,repo,repo,,,,,,,,
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,repo,repo,,,,,,,,
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,repo,repo,,,,,,,,
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,repo,repo,,,,,,,,
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,repo,repo,,,,,,,,
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,repo,repo,,,,,,,,
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,repo,repo,,,,,,,,
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,repo,repo,,,,,,,,
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,repo,repo,,,,,,,,
昇腾,75,router,推理加速,https://github.com/vllm-project/router,repo,repo,,,,,,,,
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,repo,repo,,,,,,,,
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,repo,repo,,,,,,,,
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,repo,repo,,,,,,,,
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,repo,repo,,,,,,,,
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,repo,repo,,,,,,,,
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,repo,repo,,,,,,,,
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,repo,repo,,,,,,,,
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,repo,repo,,,,,,,,
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,repo,repo,,,,,,,,
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,repo,repo,,,,,,,,
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,repo,repo,,,,,,,,
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,repo,repo,,,,,,,,
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,repo,repo,,,,,,,,
鲲鹏,1,Glibc,基础库&加速库,https://sourceware.org/git/glibc.git,repo,repo,,,,,,,,
鲲鹏,2,Hyperscan,基础库&加速库,https://github.com/est31/cargo-udeps,repo,repo,,,,,,,,
鲲鹏,4,Zlib,基础库&加速库,https://github.com/madler/zlib,repo,repo,,,,,,,,
鲲鹏,5,LZ4,基础库&加速库,https://github.com/lz4/lz4,repo,repo,,,,,,,,
鲲鹏,6,zlib-ng,基础库&加速库,https://github.com/zlib-ng/zlib-ng,repo,repo,,,,,,,,
鲲鹏,7,edk2,基础库&加速库,https://github.com/tianocore/edk2,repo,repo,,,,,,,,
鲲鹏,8,Suricata,基础库&加速库,https://github.com/OISF/suricata,repo,repo,,,,,,,,
鲲鹏,9,Snort,基础库&加速库,https://github.com/snort3/snort3,repo,repo,,,,,,,,
鲲鹏,10,nDPI,基础库&加速库,https://github.com/ntop/nDPI,repo,repo,,,,,,,,
鲲鹏,11,Gzip,基础库&加速库,https://github.com/Distrotech/gzip,repo,repo,,,,,,,,
鲲鹏,12,Zstd,基础库&加速库,https://github.com/facebook/zstd,repo,repo,,,,,,,,
鲲鹏,13,Snappy,基础库&加速库,https://github.com/google/snappy,repo,repo,,,,,,,,
鲲鹏,14,X265,基础库&加速库,https://bitbucket.org/multicoreware/x265,repo,repo,,,,,,,,
鲲鹏,15,DPDK,基础库&加速库,https://github.com/DPDK/dpdk,repo,repo,,,,,,,,
鲲鹏,16,X264,基础库&加速库,https://code.videolan.org/videolan/x264,repo,repo,,,,,,,,
鲲鹏,17,SPDK,基础库&加速库,https://github.com/spdk/spdk,repo,repo,,,,,,,,
鲲鹏,18,Bcache,基础库&加速库,https://github.com/g2p/bcache-tools,repo,repo,,,,,,,,
鲲鹏,19,OpenBLAS,基础库&加速库,https://github.com/OpenMathLib/OpenBLAS,repo,repo,,,,,,,,
鲲鹏,20,lapack,基础库&加速库,https://github.com/Reference-LAPACK/lapack,repo,repo,,,,,,,,
鲲鹏,21,Numpy,基础库&加速库,https://github.com/numpy/numpy,repo,repo,,,,,,,,
鲲鹏,22,ISA-L,基础库&加速库,https://github.com/intel/isa-l,repo,repo,,,,,,,,
鲲鹏,23,EMU,ARM应用支持,https://github.com/treangenlab/emu,repo,repo,,,,,,,,
鲲鹏,24,Mesa,ARM应用支持,https://gitlab.freedesktop.org/mesa/mesa,repo,repo,,,,,,,,
鲲鹏,25,Binder,ARM应用支持,https://github.com/kupferlauncher/keybinder,repo,repo,,,,,,,,
鲲鹏,26,LLVM,ARM应用支持,https://github.com/llvm/llvm-project,repo,repo,,,,,,,,
鲲鹏,27,libdrm,ARM应用支持,https://gitlab.freedesktop.org/mesa/drm,repo,repo,,,,,,,,
鲲鹏,28,musl,ARM应用支持,https://git.musl-libc.org/cgit/musl,repo,repo,,,,,,,,
鲲鹏,29,OpenH264,ARM应用支持,https://github.com/cisco/openh264,repo,repo,,,,,,,,
鲲鹏,30,Opus,ARM应用支持,https://github.com/xiph/opus,repo,repo,,,,,,,,
鲲鹏,31,cJSON,ARM应用支持,https://github.com/DaveGamble/cJSON,repo,repo,,,,,,,,
鲲鹏,32,libyuv-android,ARM应用支持,https://github.com/crow-misia/libyuv-android,repo,repo,,,,,,,,
鲲鹏,33,benchmark,ARM应用支持,https://github.com/google/benchmark,repo,repo,,,,,,,,
鲲鹏,35,Ffmpeg,ARM应用支持,https://git.ffmpeg.org/ffmpeg.git,repo,repo,,,,,,,,
鲲鹏,36,libjpeg-turbo,ARM应用支持,https://github.com/libjpeg-turbo/libjpeg-turbo,repo,repo,,,,,,,,
鲲鹏,37,Hadoop,大数据,https://github.com/apache/hadoop,repo,repo,,,,,,,,
鲲鹏,38,Spark,大数据,https://github.com/apache/spark,repo,repo,,,,,,,,
鲲鹏,39,Hive,大数据,https://github.com/apache/hive,repo,repo,,,,,,,,
鲲鹏,40,HBase,大数据,https://github.com/apache/hbase,repo,repo,,,,,,,,
鲲鹏,41,ElasticSearch,大数据,https://github.com/elastic/elasticsearch,repo,repo,,,,,,,,
鲲鹏,42,Flink,大数据,https://github.com/apache/flink,repo,repo,,,,,,,,
鲲鹏,43,Kafka,大数据,https://github.com/apache/kafka,repo,repo,,,,,,,,
鲲鹏,44,Storm,大数据,https://github.com/apache/storm,repo,repo,,,,,,,,
鲲鹏,45,Redis,大数据,https://github.com/redis/redis,repo,repo,,,,,,,,
鲲鹏,46,Impala,大数据,https://github.com/apache/impala,repo,repo,,,,,,,,
鲲鹏,47,Zookeeper,大数据,https://github.com/apache/zookeeper,repo,repo,,,,,,,,
鲲鹏,48,ClickHouse,大数据,https://github.com/ClickHouse/ClickHouse,repo,repo,,,,,,,,
鲲鹏,49,Alluxio,大数据,https://github.com/Alluxio/alluxio,repo,repo,,,,,,,,
鲲鹏,50,Ranger,大数据,https://github.com/ranger/ranger,repo,repo,,,,,,,,
鲲鹏,51,Tez,大数据,https://github.com/apache/tez,repo,repo,,,,,,,,
鲲鹏,52,Flume,大数据,https://github.com/apache/logging-flume,repo,repo,,,,,,,,
鲲鹏,53,Oozie,大数据,https://github.com/apache/oozie,repo,repo,,,,,,,,
鲲鹏,54,Solr,大数据,https://github.com/apache/solr,repo,repo,,,,,,,,
鲲鹏,55,Presto,大数据,https://github.com/prestodb/presto,repo,repo,,,,,,,,
鲲鹏,56,Kylin,大数据,https://github.com/apache/kylin,repo,repo,,,,,,,,
鲲鹏,57,Accumulo,大数据,https://github.com/apache/accumulo,repo,repo,,,,,,,,
鲲鹏,58,Avro,大数据,https://github.com/apache/avro,repo,repo,,,,,,,,
鲲鹏,59,logstash,大数据,https://github.com/elastic/logstash,repo,repo,,,,,,,,
鲲鹏,60,Kibana,大数据,https://github.com/elastic/kibana,repo,repo,,,,,,,,
鲲鹏,61,Knox,大数据,https://github.com/Automattic/knox,repo,repo,,,,,,,,
鲲鹏,62,Pig,大数据,https://github.com/apache/pig,repo,repo,,,,,,,,
鲲鹏,63,Atlas,大数据,https://github.com/apache/atlas,repo,repo,,,,,,,,
鲲鹏,64,Livy,大数据,https://github.com/apache/incubator-livy,repo,repo,,,,,,,,
鲲鹏,65,Parquet,大数据,https://github.com/apache/parquet-java/,repo,repo,,,,,,,,
鲲鹏,66,Mesos,大数据,https://github.com/apache/mesos,repo,repo,,,,,,,,
鲲鹏,67,Thrift,大数据,https://github.com/apache/thrift,repo,repo,,,,,,,,
鲲鹏,68,Drill,大数据,https://github.com/apache/drill,repo,repo,,,,,,,,
鲲鹏,69,Druid,大数据,https://github.com/apache/druid,repo,repo,,,,,,,,
鲲鹏,70,Phoenix,大数据,https://github.com/apache/phoenix,repo,repo,,,,,,,,
鲲鹏,71,Lucene,大数据,https://github.com/apache/lucene,repo,repo,,,,,,,,
鲲鹏,72,TDengine,大数据,https://github.com/taosdata/TDengine,repo,repo,,,,,,,,
鲲鹏,73,Arrow,大数据,https://github.com/apache/arrow,repo,repo,,,,,,,,
鲲鹏,74,Kudu,大数据,https://github.com/apache/kudu,repo,repo,,,,,,,,
鲲鹏,75,Kyuubi,大数据,https://github.com/apache/kyuubi,repo,repo,,,,,,,,
鲲鹏,76,Ceph,分布式存储,https://github.com/ceph/ceph,repo,repo,,,,,,,,
鲲鹏,77,GlusterFS,分布式存储,https://github.com/gluster/glusterfs,repo,repo,,,,,,,,
鲲鹏,79,FastDFS,分布式存储,https://github.com/greduan/emacs-theme-gruvbox,repo,repo,,,,,,,,
鲲鹏,80,MinIO,分布式存储,https://github.com/minio/minio,repo,repo,,,,,,,,
鲲鹏,81,MooseFS,分布式存储,https://github.com/moosefs/moosefs,repo,repo,,,,,,,,
鲲鹏,82,LizardFS,分布式存储,https://github.com/lizardfs/lizardfs,repo,repo,,,,,,,,
鲲鹏,83,Sheepdog,分布式存储,https://github.com/sheepdog/sheepdog,repo,repo,,,,,,,,
鲲鹏,84,DRBD,分布式存储,https://github.com/LINBIT/drbd,repo,repo,,,,,,,,
鲲鹏,85,DAOS,分布式存储,https://github.com/daos-stack/daos,repo,repo,,,,,,,,
鲲鹏,86,CURVE,分布式存储,https://github.com/opencurve/curve,repo,repo,,,,,,,,
鲲鹏,87,SeaweedFS,分布式存储,https://github.com/seaweedfs/seaweedfs,repo,repo,,,,,,,,
鲲鹏,88,Docker,虚拟化,https://github.com/nextcloud/docker,repo,repo,,,,,,,,
鲲鹏,89,Kubernetes,虚拟化,https://github.com/kubernetes/kubernetes,repo,repo,,,,,,,,
鲲鹏,90,libvirt,虚拟化,https://github.com/libvirt/libvirt,repo,repo,,,,,,,,
鲲鹏,91,OpenStack,虚拟化,https://opendev.org/openstack/openstack,repo,repo,,,,,,,,
鲲鹏,92,KVM,虚拟化,https://git.kernel.org/pub/scm/virt/kvm/kvm.git,repo,repo,,,,,,,,
鲲鹏,93,Open vSwitch,虚拟化,https://github.com/openvswitch/ovs,repo,repo,,,,,,,,
鲲鹏,94,QEMU,虚拟化,https://gitlab.com/qemu-project/qemu,repo,repo,,,,,,,,
鲲鹏,95,Ovirt,虚拟化,https://github.com/oVirt/ovirt-engine,repo,repo,,,,,,,,
鲲鹏,96,Stratovirt,虚拟化,https://atomgit.com/openeuler/stratovirt,repo,repo,,,,,,,,
鲲鹏,97,Calico,虚拟化,https://github.com/projectcalico/calico,repo,repo,,,,,,,,
鲲鹏,98,Flannel,虚拟化,https://github.com/flannel-io/flannel,repo,repo,,,,,,,,
鲲鹏,99,CoreDNS,虚拟化,https://github.com/coredns/coredns,repo,repo,,,,,,,,
鲲鹏,100,Containerd,虚拟化,https://github.com/containerd/containerd,repo,repo,,,,,,,,
鲲鹏,101,Prometheus,虚拟化,https://github.com/prometheus/prometheus,repo,repo,,,,,,,,
鲲鹏,102,lstio,虚拟化,https://github.com/istio/istio,repo,repo,,,,,,,,
鲲鹏,103,Envoy,虚拟化,https://github.com/envoyproxy/envoy,repo,repo,,,,,,,,
鲲鹏,104,iSula,虚拟化,https://atomgit.com/openeuler/iSulad,repo,repo,,,,,,,,
鲲鹏,105,harbor,虚拟化,https://github.com/goharbor/harbor,repo,repo,,,,,,,,
鲲鹏,106,Apache HTTP Server,Web,https://github.com/apache/httpd,repo,repo,,,,,,,,
鲲鹏,107,Tomcat,Web,https://github.com/apache/tomcat,repo,repo,,,,,,,,
鲲鹏,108,Varnish,Web,https://github.com/varnishcache/varnish-cache,repo,repo,,,,,,,,
鲲鹏,109,JBOSS,Web,https://github.com/wildfly/wildfly,repo,repo,,,,,,,,
鲲鹏,110,HAProxy,Web,https://github.com/haproxy/haproxy,repo,repo,,,,,,,,
鲲鹏,111,Memcached,Web,https://github.com/memcached/memcached,repo,repo,,,,,,,,
鲲鹏,112,Nginx,Web,https://github.com/nginx/nginx,repo,repo,,,,,,,,
鲲鹏,113,.NET Core,Web,https://github.com/dotnet/core,repo,repo,,,,,,,,
鲲鹏,114,ATS,Web,https://github.com/apache/trafficserver,repo,repo,,,,,,,,
鲲鹏,115,Jetty,Web,https://github.com/jetty/jetty.project,repo,repo,,,,,,,,
鲲鹏,116,Keepalived,Web,https://github.com/acassen/keepalived,repo,repo,,,,,,,,
鲲鹏,118,Dubbo,Web,https://github.com/apache/dubbo,repo,repo,,,,,,,,
鲲鹏,119,Squid,Web,https://github.com/squid-cache/squid,repo,repo,,,,,,,,
鲲鹏,120,Glassfish,Web,https://github.com/eclipse-ee4j/glassfish,repo,repo,,,,,,,,
鲲鹏,121,Node.js,Web,https://github.com/nodejs/node,repo,repo,,,,,,,,
鲲鹏,122,chromium,Web,https://chromium.googlesource.com/chromium,repo,repo,,,,,,,,
鲲鹏,123,Django,Web,https://github.com/django/django,repo,repo,,,,,,,,
鲲鹏,124,fcgi,Web,https://github.com/FastCGI-Archives/fcgi2,repo,repo,,,,,,,,
鲲鹏,125,Mongoose,Web,https://github.com/Automattic/mongoose,repo,repo,,,,,,,,
鲲鹏,126,Nagios,Web,https://github.com/NagiosEnterprises/nagioscore,repo,repo,,,,,,,,
鲲鹏,127,uWSGI,Web,https://github.com/unbit/uwsgi,repo,repo,,,,,,,,
鲲鹏,128,Spring Framework,Web,https://github.com/spring-projects/spring-framework,repo,repo,,,,,,,,
鲲鹏,129,Spring Boot,Web,https://github.com/spring-projects/spring-boot,repo,repo,,,,,,,,
鲲鹏,130,Tengine,Web,https://github.com/alibaba/tengine,repo,repo,,,,,,,,
鲲鹏,132,MySQL,数据库,https://github.com/mysql/mysql-server,repo,repo,,,,,,,,
鲲鹏,133,MariaDB,数据库,https://github.com/MariaDB/server,repo,repo,,,,,,,,
鲲鹏,134,PostgreSQL,数据库,https://git.postgresql.org/git/postgresql.git,repo,repo,,,,,,,,
鲲鹏,135,MongoDB,数据库,https://github.com/mongodb/mongo,repo,repo,,,,,,,,
鲲鹏,136,RocksDB,数据库,https://github.com/facebook/rocksdb,repo,repo,,,,,,,,
鲲鹏,137,TiDB,数据库,https://github.com/pingcap/tidb,repo,repo,,,,,,,,
鲲鹏,138,InfluxDB,数据库,https://github.com/influxdata/influxdb,repo,repo,,,,,,,,
鲲鹏,139,SQLite,数据库,https://sqlite.org/src,repo,repo,,,,,,,,
鲲鹏,140,Cassandra,数据库,https://github.com/apache/cassandra,repo,repo,,,,,,,,
鲲鹏,141,etcd,数据库,https://github.com/etcd-io/etcd,repo,repo,,,,,,,,
鲲鹏,142,LevelDB,数据库,https://github.com/google/leveldb,repo,repo,,,,,,,,
鲲鹏,143,OrientDB,数据库,https://github.com/orientechnologies/orientdb,repo,repo,,,,,,,,
鲲鹏,144,Neo4j,数据库,https://github.com/neo4j/neo4j,repo,repo,,,,,,,,
鲲鹏,145,gcc,基础库&加速库,https://github.com/gcc-mirror/gcc,repo,repo,,,,,,,,
鲲鹏,146,OpenJDK,基础库&加速库,https://github.com/openjdk/jdk,repo,repo,,,,,,,,
鲲鹏,147,CMake,基础库&加速库,https://gitlab.kitware.com/cmake/cmake,repo,repo,,,,,,,,
鲲鹏,149,GDB,基础库&加速库,https://ftp.gnu.org/gnu/gdb/,repo,repo,,,,,,,,
鲲鹏,150,Maven,基础库&加速库,https://github.com/apache/maven,repo,repo,,,,,,,,
鲲鹏,151,Ant,基础库&加速库,https://github.com/apache/ant,repo,repo,,,,,,,,
鲲鹏,152,Scala,基础库&加速库,https://github.com/scala/scala,repo,repo,,,,,,,,
鲲鹏,154,Golang,基础库&加速库,https://github.com/golang/go,repo,repo,,,,,,,,
鲲鹏,155,Lua,基础库&加速库,https://www.lua.org/source/,repo,repo,,,,,,,,
鲲鹏,156,Perl,基础库&加速库,https://github.com/Perl/perl5,repo,repo,,,,,,,,
鲲鹏,157,Ruby,基础库&加速库,https://github.com/ruby/ruby,repo,repo,,,,,,,,
鲲鹏,158,R,基础库&加速库,https://svn.r-project.org/R/,repo,repo,,,,,,,,
鲲鹏,159,Gradle,基础库&加速库,https://github.com/gradle/gradle,repo,repo,,,,,,,,
鲲鹏,160,Erlang,基础库&加速库,https://github.com/erlang/otp,repo,repo,,,,,,,,
鲲鹏,161,Google Test,基础库&加速库,https://github.com/google/googletest,repo,repo,,,,,,,,
鲲鹏,162,SKLearn,基础库&加速库,https://github.com/scikit-learn/scikit-learn,repo,repo,,,,,,,,
鲲鹏,163,APR-util,基础库&加速库,https://github.com/apache/apr-util,repo,repo,,,,,,,,
鲲鹏,164,TypeScript,基础库&加速库,https://github.com/microsoft/TypeScript,repo,repo,,,,,,,,
鲲鹏,165,Git,基础库&加速库,https://github.com/git/git,repo,repo,,,,,,,,
鲲鹏,166,Jenkins,基础库&加速库,https://github.com/jenkinsci/jenkins,repo,repo,,,,,,,,
鲲鹏,167,npm,基础库&加速库,https://github.com/meteorhacks/npm,repo,repo,,,,,,,,
鲲鹏,168,catj,基础库&加速库,https://github.com/soheilpro/catj,repo,repo,,,,,,,,
鲲鹏,169,bcrypt,基础库&加速库,https://github.com/pyca/bcrypt,repo,repo,,,,,,,,
鲲鹏,170,busybox,基础库&加速库,https://github.com/mirror/busybox,repo,repo,,,,,,,,
鲲鹏,171,Expat,基础库&加速库,https://github.com/libexpat/libexpat,repo,repo,,,,,,,,
鲲鹏,172,FlatBuffers,基础库&加速库,https://github.com/google/flatbuffers,repo,repo,,,,,,,,
鲲鹏,174,Hiredis,基础库&加速库,https://github.com/redis/hiredis,repo,repo,,,,,,,,
鲲鹏,176,Libxml2,基础库&加速库,https://gitlab.gnome.org/GNOME/libxml2,repo,repo,,,,,,,,
鲲鹏,177,MPFR,基础库&加速库,https://gitlab.inria.fr/mpfr/mpfr,repo,repo,,,,,,,,
鲲鹏,178,Next.js,基础库&加速库,https://github.com/vercel/next.js,repo,repo,,,,,,,,
鲲鹏,179,pcre,基础库&加速库,https://github.com/PCRE2Project/pcre2,repo,repo,,,,,,,,
鲲鹏,180,PHP,基础库&加速库,https://github.com/php/php-src,repo,repo,,,,,,,,
鲲鹏,181,React,基础库&加速库,https://github.com/facebook/react,repo,repo,,,,,,,,
鲲鹏,182,Rinetd,基础库&加速库,https://github.com/samhocevar/rinetd,repo,repo,,,,,,,,
鲲鹏,183,SCons,基础库&加速库,https://github.com/SCons/scons,repo,repo,,,,,,,,
鲲鹏,184,Netty,基础库&加速库,https://github.com/netty/netty,repo,repo,,,,,,,,
鲲鹏,185,Boost,基础库&加速库,https://github.com/boostorg/boost,repo,repo,,,,,,,,
鲲鹏,186,Protobuf,基础库&加速库,https://github.com/protocolbuffers/protobuf,repo,repo,,,,,,,,
鲲鹏,187,Libevent,基础库&加速库,https://github.com/libevent/libevent,repo,repo,,,,,,,,
鲲鹏,188,Wireshark,基础库&加速库,https://gitlab.com/wireshark/wireshark,repo,repo,,,,,,,,
鲲鹏,189,JUnit,基础库&加速库,https://github.com/junit-team/junit-framework,repo,repo,,,,,,,,
鲲鹏,190,DHCP,基础库&加速库,https://github.com/insomniacslk/dhcp,repo,repo,,,,,,,,
鲲鹏,191,DNSmasq,基础库&加速库,https://github.com/coddec/Classic-Shell,repo,repo,,,,,,,,
鲲鹏,192,FastJSON,基础库&加速库,https://github.com/alibaba/fastjson2,repo,repo,,,,,,,,
鲲鹏,193,grpc-java,基础库&加速库,https://github.com/grpc/grpc-java,repo,repo,,,,,,,,
鲲鹏,194,jemalloc,基础库&加速库,https://github.com/jemalloc/jemalloc,repo,repo,,,,,,,,
鲲鹏,195,ActiveMQ,基础库&加速库,https://github.com/apache/activemq,repo,repo,,,,,,,,
鲲鹏,196,RabbitMQ,基础库&加速库,https://github.com/rabbitmq/rabbitmq-server,repo,repo,,,,,,,,
鲲鹏,197,Ansible,基础库&加速库,https://github.com/ansible/ansible,repo,repo,,,,,,,,
鲲鹏,198,APR,基础库&加速库,https://github.com/apache/apr,repo,repo,,,,,,,,
鲲鹏,199,Filebeat,基础库&加速库,https://github.com/elastic/beats,repo,repo,,,,,,,,
鲲鹏,200,fmt,基础库&加速库,https://github.com/fmtlib/fmt,repo,repo,,,,,,,,
鲲鹏,201,Geos,基础库&加速库,https://github.com/libgeos/geos,repo,repo,,,,,,,,
鲲鹏,202,libconfig,基础库&加速库,https://github.com/hyperrealm/libconfig,repo,repo,,,,,,,,
鲲鹏,204,Netdata,基础库&加速库,https://github.com/netdata/netdata,repo,repo,,,,,,,,
鲲鹏,205,psutil,基础库&加速库,https://github.com/giampaolo/psutil,repo,repo,,,,,,,,
鲲鹏,206,RE2,基础库&加速库,https://github.com/google/re2,repo,repo,,,,,,,,
鲲鹏,207,Rsyslog,基础库&加速库,https://github.com/rsyslog/rsyslog,repo,repo,,,,,,,,
鲲鹏,208,Shiny,基础库&加速库,https://github.com/efremidze/Shiny,repo,repo,,,,,,,,
