org_name,owner,platform,org_url,repo_count,unique_repo_count,repos,source,confidence,reason,description,blog,location
ggml,ggml-org,github.com,https://github.com/ggml-org,3,2,llama.cpp;whisper;llama.cpp（电信/移动）,url+github_api,,Resolved from URL host github.com/ggml-org; GitHub API type=Organization,AI inference at the edge,https://ggml.ai,
ray-project,ray-project,github.com,https://github.com/ray-project,3,2,Ray;Ray（蚂蚁）;kuberay(字节),url+github_api,,Resolved from URL host github.com/ray-project; GitHub API type=Organization,,https://docs.ray.io,
OpenXLA,openxla,github.com,https://github.com/openxla,3,1,OpenXLA;XLA(京东);xla,url+github_api,,Resolved from URL host github.com/openxla; GitHub API type=Organization,"A community-driven, open source ML compiler ecosystem, using the best of XLA & MLIR.",,
tensorflow,tensorflow,github.com,https://github.com/tensorflow,3,2,TensorFlow;Tensorflow;tensorflow-serving(BOSS),url+github_api,,Resolved from URL host github.com/tensorflow; GitHub API type=Organization,,http://www.tensorflow.org,
kvcache.ai,kvcache-ai,github.com,https://github.com/kvcache-ai,3,2,Mooncake;Ktransformers;Mooncake(京东),url+github_api,,Resolved from URL host github.com/kvcache-ai; GitHub API type=Organization,"KVCache.AI is a joint research project between MADSys and top industry collaborators, focusing on efficient LLM serving.",https://madsys.cs.tsinghua.edu.cn/,
Broad Institute,broadinstitute,github.com,https://github.com/broadinstitute,3,3,GATK;pilon;picard,url+github_api,,Resolved from URL host github.com/broadinstitute; GitHub API type=Organization,Broad Institute of MIT and Harvard,http://www.broadinstitute.org/,"Cambridge, MA"
Kim Lab at UT Southwestern Medical Center,DaehwanKimLab,github.com,https://github.com/DaehwanKimLab,3,3,centrifuge;Tophat2;HISAT2,url+github_api,,Resolved from URL host github.com/DaehwanKimLab; GitHub API type=Organization,,https://kim-lab.org,
Bytedance Inc.,bytedance,github.com,https://github.com/bytedance,3,3,Bolt(字节);monolith(字节);sonic-cpp(互联网),url+github_api,,Resolved from URL host github.com/bytedance; GitHub API type=Organization,,https://opensource.bytedance.com,Singapore
NOAA Environmental Modeling Center (EMC),NOAA-EMC,github.com,https://github.com/NOAA-EMC,3,3,WAVEWATCH;NCEPLIBS;wgrib2,url+github_api,,Resolved from URL host github.com/NOAA-EMC; GitHub API type=Organization,We develop numerical forecast systems and enhance numerical forecasts through numerical computational technology and data assimilation techniques.   ,http://www.emc.ncep.noaa.gov/,United States of America
InternLM,InternLM,github.com,https://github.com/InternLM,2,2,InternLM;xtuner,url+github_api,,Resolved from URL host github.com/InternLM; GitHub API type=Organization,,https://chat.intern-ai.org.cn/,China
OpenCV,opencv,github.com,https://github.com/opencv,2,1,OpenCV;OpenCV,url+github_api,,Resolved from URL host github.com/opencv; GitHub API type=Organization,,https://opencv.org,
Kubernetes,kubernetes,github.com,https://github.com/kubernetes,2,2,Kubernetes DRA;Kubernetes,url+github_api,,Resolved from URL host github.com/kubernetes; GitHub API type=Organization,Production-Grade Container Scheduling and Management,https://kubernetes.io,
triton-lang,triton-lang,github.com,https://github.com/triton-lang,2,1,Triton;triton,url+github_api,,Resolved from URL host github.com/triton-lang; GitHub API type=Organization,,,
ModelScope,modelscope,github.com,https://github.com/modelscope,2,2,ms-swift;DiffSynth-Studio,url+github_api,,Resolved from URL host github.com/modelscope; GitHub API type=Organization,Model-as-a-Service in the making: bring accessible AI to all.,https://www.modelscope.cn/,
sgl-project,sgl-project,github.com,https://github.com/sgl-project,2,2,SpecForge;sglang,url+github_api,,Resolved from URL host github.com/sgl-project; GitHub API type=Organization,,,
mesa,mesa,gitlab.freedesktop.org,https://gitlab.freedesktop.org/mesa,2,2,Mesa;libdrm,url,,Resolved from URL host gitlab.freedesktop.org/mesa,,,
LLVM,llvm,github.com,https://github.com/llvm,2,1,LLVM;Clang,url+github_api,,Resolved from URL host github.com/llvm; GitHub API type=Organization,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.,https://llvm.org,
Redis,redis,github.com,https://github.com/redis,2,2,Redis;Hiredis,url+github_api,,Resolved from URL host github.com/redis; GitHub API type=Organization,,https://redis.io,
Automattic,Automattic,github.com,https://github.com/Automattic,2,2,Knox;Mongoose,url+github_api,,Resolved from URL host github.com/Automattic; GitHub API type=Organization,We are passionate about making the web a better place.,https://automattic.com,Worldwide
pub,pub,git.kernel.org,https://git.kernel.org/pub,2,2,KVM;LVS,url,,Resolved from URL host git.kernel.org/pub,,,
Spring,spring-projects,github.com,https://github.com/spring-projects,2,2,Spring Framework;Spring Boot,url+github_api,,Resolved from URL host github.com/spring-projects; GitHub API type=Organization,Spring Projects,https://spring.io/projects,United States of America
InfluxData,influxdata,github.com,https://github.com/influxdata,2,2,InfluxDB;Telegraf,url+github_api,,Resolved from URL host github.com/influxdata; GitHub API type=Organization,,https://influxdata.com,United States of America
Protocol Buffers,protocolbuffers,github.com,https://github.com/protocolbuffers,2,1,Protobuf;protobuf(字节),url+github_api,,Resolved from URL host github.com/protocolbuffers; GitHub API type=Organization,"A language-neutral, platform-neutral extensible mechanism for serializing structured data.",https://developers.google.com/protocol-buffers/,
grpc,grpc,github.com,https://github.com/grpc,2,2,grpc-java;grpc,url+github_api,,Resolved from URL host github.com/grpc; GitHub API type=Organization,"A high performance, open source, general-purpose RPC framework",https://grpc.io,
Weather Research and Forecasting Model,wrf-model,github.com,https://github.com/wrf-model,2,2,WRF;WPS,url+github_api,,Resolved from URL host github.com/wrf-model; GitHub API type=Organization,,http://www2.mmm.ucar.edu/wrf/users/,"Boulder, Colorado, USA"
Dfam Consortium,Dfam-consortium,github.com,https://github.com/Dfam-consortium,2,2,RepeatModeler;RepeatScout,url+github_api,,Resolved from URL host github.com/Dfam-consortium; GitHub API type=Organization,Resources for the Study of Transposable Element Families,www.dfam.org,
Center for Computational Structural Biology,ccsb-scripps,github.com,https://github.com/ccsb-scripps,2,1,AutoDock vina;AutoDOCK,url+github_api,,Resolved from URL host github.com/ccsb-scripps; GitHub API type=Organization,Docking and Mesoscale Modeling,https://ccsb.scripps.edu,Scripps Research
Söding Lab,soedinglab,github.com,https://github.com/soedinglab,2,2,metaeuk;HH-suite,url+github_api,,Resolved from URL host github.com/soedinglab; GitHub API type=Organization,Quantitative and Computational Biology,https://mpinat.mpg.de/soeding,"Goettingen, Germany"
DeepSeek,deepseek-ai,github.com,https://github.com/deepseek-ai,2,2,3FS(Xsky);deepseek,url+github_api,,Resolved from URL host github.com/deepseek-ai; GitHub API type=Organization,,https://www.deepseek.com/,
libeigen,libeigen,gitlab.com,https://gitlab.com/libeigen,2,1,Eigen(京东);Eigen,url,,Resolved from URL host gitlab.com/libeigen,,,
SPECFEM,SPECFEM,github.com,https://github.com/SPECFEM,2,2,specfem3d;specfem3d_globe,url+github_api,,Resolved from URL host github.com/SPECFEM; GitHub API type=Organization,Spectral-element code repositories,https://specfem.org,
RosettaCommons,RosettaCommons,github.com,https://github.com/RosettaCommons,2,2,Rfdiffusion;PyRosetta,url+github_api,,Resolved from URL host github.com/RosettaCommons; GitHub API type=Organization,,https://www.rosettacommons.org,
Nanostructures and Computation Group,NanoComp,github.com,https://github.com/NanoComp,2,2,MEEP;MPB,url+github_api,,Resolved from URL host github.com/NanoComp; GitHub API type=Organization,,http://math.mit.edu/~stevenj/group,"MIT, Cambridge, MA, USA"
U.S. Environmental Protection Agency,USEPA,github.com,https://github.com/USEPA,2,2,CMAQ;SWMM,url+github_api,,Resolved from URL host github.com/USEPA; GitHub API type=Organization,Protecting Human Health and the Environment,https://www.epa.gov,United States of America
Pachter Lab,pachterlab,github.com,https://github.com/pachterlab,2,2,kallisto;kallisto+bustools_python,url+github_api,,Resolved from URL host github.com/pachterlab; GitHub API type=Organization,,http://pachterlab.github.io,"Pasadena, CA"
phonopy,phonopy,github.com,https://github.com/phonopy,2,2,phonopy;phono3py,url+github_api,,Resolved from URL host github.com/phonopy; GitHub API type=Organization,,,
samtools,samtools,github.com,https://github.com/samtools,2,2,bcftools;Samtools,url+github_api,,Resolved from URL host github.com/samtools; GitHub API type=Organization,,http://samtools.github.io,
MarBL,marbl,github.com,https://github.com/marbl,2,2,Canu;meryl,url+github_api,,Resolved from URL host github.com/marbl; GitHub API type=Organization,Maryland Bioinformatics Labs,,
Lawrence Livermore National Laboratory,llnl,github.com,https://github.com/llnl,2,2,AMG;sundials,url+github_api,,Resolved from URL host github.com/llnl; GitHub API type=Organization,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place.",https://software.llnl.gov,"Livermore, CA, USA"
European Centre for Medium-Range Weather Forecasts,ecmwf,github.com,https://github.com/ecmwf,2,2,eccodes;ecflow,url+github_api,,Resolved from URL host github.com/ecmwf; GitHub API type=Organization,Providing software to work with meteorological data and services,www.ecmwf.int,"Shinfield Park, Reading, United Kingdom"
Open Source Geospatial Foundation,OSGeo,github.com,https://github.com/OSGeo,2,2,GDAL;Proj,url+github_api,,Resolved from URL host github.com/OSGeo; GitHub API type=Organization,Empower everyone with open source geospatial,https://www.osgeo.org,United States of America
LMSYS,lm-sys,github.com,https://github.com/lm-sys,1,1,FastChat,url+github_api,,Resolved from URL host github.com/lm-sys; GitHub API type=Organization,Large Model Systems Organization,,
EleutherAI,EleutherAI,github.com,https://github.com/EleutherAI,1,1,lm-eval-harness,url+github_api,,Resolved from URL host github.com/EleutherAI; GitHub API type=Organization,,www.eleuther.ai,The Internet
OpenCompass,open-compass,github.com,https://github.com/open-compass,1,1,opencompass,url+github_api,,Resolved from URL host github.com/open-compass; GitHub API type=Organization,,opencompass.org.cn,China
Axolotl AI,axolotl-ai-cloud,github.com,https://github.com/axolotl-ai-cloud,1,1,axolotl,url+github_api,,Resolved from URL host github.com/axolotl-ai-cloud; GitHub API type=Organization,,https://axolotl.ai,United States of America
mlfoundations,mlfoundations,github.com,https://github.com/mlfoundations,1,1,openclip,url+github_api,,Resolved from URL host github.com/mlfoundations; GitHub API type=Organization,,https://people.csail.mit.edu/ludwigs/,
Ollama,ollama,github.com,https://github.com/ollama,1,1,Ollama,url+github_api,,Resolved from URL host github.com/ollama; GitHub API type=Organization,,https://ollama.com,
Unsloth AI,unslothai,github.com,https://github.com/unslothai,1,1,unsolth,url+github_api,,Resolved from URL host github.com/unslothai; GitHub API type=Organization,Run and train AI models locally. 🦥,https://unsloth.ai/,United States of America
OpenRLHF,OpenRLHF,github.com,https://github.com/OpenRLHF,1,1,OpenRLHF,url+github_api,,Resolved from URL host github.com/OpenRLHF; GitHub API type=Organization,Open-sourced Reinforcment Learning from Human Feedback,,
verl-project,verl-project,github.com,https://github.com/verl-project,1,1,veRL,url+github_api,,Resolved from URL host github.com/verl-project; GitHub API type=Organization,,,
Comfy Org,Comfy-Org,github.com,https://github.com/Comfy-Org,1,1,ComfyUI,url+github_api,,Resolved from URL host github.com/Comfy-Org; GitHub API type=Organization,,https://comfy.org,
deepspeedai,deepspeedai,github.com,https://github.com/deepspeedai,1,1,DeepSpeed,url+github_api,,Resolved from URL host github.com/deepspeedai; GitHub API type=Organization,,,
WeNet Community,wenet-e2e,github.com,https://github.com/wenet-e2e,1,1,wenet,url+github_api,,Resolved from URL host github.com/wenet-e2e; GitHub API type=Organization,Production First and Production Ready End-to-End Speech Toolkit,https://wenet.org.cn/,"Beijing & Xian, China"
KServe,kserve,github.com,https://github.com/kserve,1,1,Kserver,url+github_api,,Resolved from URL host github.com/kserve; GitHub API type=Organization,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes",https://kserve.github.io/website,
bitsandbytes collective,bitsandbytes-foundation,github.com,https://github.com/bitsandbytes-foundation,1,1,bitsandbytes,url+github_api,,Resolved from URL host github.com/bitsandbytes-foundation; GitHub API type=Organization,,,
LangGenius,langgenius,github.com,https://github.com/langgenius,1,1,Dify,url+github_api,,Resolved from URL host github.com/langgenius; GitHub API type=Organization,Dify is an LLMOps platform that helps you build GPT-based applications easily and intuitively.,https://dify.ai,
coze-dev,coze-dev,github.com,https://github.com/coze-dev,1,1,Coze,url+github_api,,Resolved from URL host github.com/coze-dev; GitHub API type=Organization,Next-generation AI chatbot building platform. Quickly create bots without coding and publish them on various platforms,https://www.coze.com,
x402 Foundation,x402-foundation,github.com,https://github.com/x402-foundation,1,1,X402,url+github_api,,Resolved from URL host github.com/x402-foundation; GitHub API type=Organization,,https://x402.org,
Google Agentic Commerce,google-agentic-commerce,github.com,https://github.com/google-agentic-commerce,1,1,AP2,url+github_api,,Resolved from URL host github.com/google-agentic-commerce; GitHub API type=Organization,,https://ap2-protocol.org,United States of America
Model Context Protocol,modelcontextprotocol,github.com,https://github.com/modelcontextprotocol,1,1,MCP,url+github_api,,Resolved from URL host github.com/modelcontextprotocol; GitHub API type=Organization,An open protocol that enables seamless integration between LLM applications and external data sources and tools.,https://modelcontextprotocol.io,
Agent2Agent (A2A) Project,a2aproject,github.com,https://github.com/a2aproject,1,1,A2A,url+github_api,,Resolved from URL host github.com/a2aproject; GitHub API type=Organization,Donated to the Linux Foundation by Google,https://a2a-protocol.org,
ANP Open Source Community,agent-network-protocol,github.com,https://github.com/agent-network-protocol,1,1,ANP,url+github_api,,Resolved from URL host github.com/agent-network-protocol; GitHub API type=Organization,The goal of the ANP Open Source Community is to define agent connectivity and collaboration through open source.,www.agent-network-protocol.com,
ByteDance-Seed,ByteDance-Seed,github.com,https://github.com/ByteDance-Seed,1,1,VeOmni,url+github_api,,Resolved from URL host github.com/ByteDance-Seed; GitHub API type=Organization,,https://seed.bytedance.com/,
Meta PyTorch,meta-pytorch,github.com,https://github.com/meta-pytorch,1,1,torchtune,url+github_api,,Resolved from URL host github.com/meta-pytorch; GitHub API type=Organization,,https://pytorch.org,
inclusionAI,inclusionAI,github.com,https://github.com/inclusionAI,1,1,Areal,url+github_api,,Resolved from URL host github.com/inclusionAI; GitHub API type=Organization,This organization contains the series of open-source projects from Ant Group with dedicated efforts to work towards Artificial General Intelligence (AGI).,https://inclusion-ai.org,
THUKEG,THUDM,github.com,https://github.com/THUDM,1,1,Slime,url+github_api,,Resolved from URL host github.com/THUDM; GitHub API type=Organization,"ChatGLM, GLM-4, CogVLM, CodeGeeX, CogView, ImageReward, CogVideoX | CogDL, GraphMAE, AMiner | Zhipu.ai (Z.ai) & Knowledge Engineering Group (KEG)",https://huggingface.co/THUDM,"FIT Building, Tsinghua University"
LinkedIn,linkedin,github.com,https://github.com/linkedin,1,1,Liger-Kernel,url+github_api,,Resolved from URL host github.com/linkedin; GitHub API type=Organization,,https://engineering.linkedin.com,"Sunnyvale, CA, USA"
FLA,fla-org,github.com,https://github.com/fla-org,1,1,flash-linear-attention,url+github_api,,Resolved from URL host github.com/fla-org; GitHub API type=Organization,,,
Distributed (Deep) Machine Learning Community,dmlc,github.com,https://github.com/dmlc,1,1,dgl,url+github_api,,Resolved from URL host github.com/dmlc; GitHub API type=Organization,A Community of Awesome Machine Learning Projects,,
PyG,pyg-team,github.com,https://github.com/pyg-team,1,1,pyg,url+github_api,,Resolved from URL host github.com/pyg-team; GitHub API type=Organization,Graph Neural Network Library for PyTorch,https://pyg.org,Germany
Databricks,databricks,github.com,https://github.com/databricks,1,1,megablocks,url+github_api,,Resolved from URL host github.com/databricks; GitHub API type=Organization,Helping data teams solve the world’s toughest problems using data and AI,https://databricks.com,United States of America
唯品会,vipshop,github.com,https://github.com/vipshop,1,1,cache-dit,url+github_api,,Resolved from URL host github.com/vipshop; GitHub API type=Organization,全球精选，正品特卖 (NASDAQ: VIPS),www.vip.com,Guangzhou China
LMCache,LMCache,github.com,https://github.com/LMCache,1,1,LMCache,url+github_api,,Resolved from URL host github.com/LMCache; GitHub API type=Organization,,,
JD.com,jd-opensource,github.com,https://github.com/jd-opensource,1,1,xllm,url+github_api,,Resolved from URL host github.com/jd-opensource; GitHub API type=Organization,JD Open Source,https://www.jdcloud.com,China
aigw-project,aigw-project,github.com,https://github.com/aigw-project,1,1,AIGW,url+github_api,,Resolved from URL host github.com/aigw-project; GitHub API type=Organization,,,
llm-d,llm-d,github.com,https://github.com/llm-d,1,1,llm-d,url+github_api,,Resolved from URL host github.com/llm-d; GitHub API type=Organization,llm-d enables high performance distributed inference in production on Kubernetes,https://llm-d.ai,United States of America
GPUStack,gpustack,github.com,https://github.com/gpustack,1,1,GPUStack,url+github_api,,Resolved from URL host github.com/gpustack; GitHub API type=Organization,GPU cluster manager for optimized AI model deployment,,
FlagOS,flagos-ai,github.com,https://github.com/flagos-ai,1,1,FlagScale,url+github_api,,Resolved from URL host github.com/flagos-ai; GitHub API type=Organization,"A Unified, Open-Source AI System Software Stack",https://flagos.io,China
HPC-AI Tech,hpcaitech,github.com,https://github.com/hpcaitech,1,1,ColossalAI,url+github_api,,Resolved from URL host github.com/hpcaitech; GitHub API type=Organization,We are a global team to help you train and deploy your AI models,https://hpc-ai.com/,
Vchitect,Vchitect,github.com,https://github.com/Vchitect,1,1,Vbench,url+github_api,,Resolved from URL host github.com/Vchitect; GitHub API type=Organization,,https://vchitect.intern-ai.org.cn/,
ModelTC,ModelTC,github.com,https://github.com/ModelTC,1,1,LightX2V,url+github_api,,Resolved from URL host github.com/ModelTC; GitHub API type=Organization,https://light-ai.top/,,
xdit-project,xdit-project,github.com,https://github.com/xdit-project,1,1,xDiT,url+github_api,,Resolved from URL host github.com/xdit-project; GitHub API type=Organization,,,
tile-ai,tile-ai,github.com,https://github.com/tile-ai,1,1,TileLang,url+github_api,,Resolved from URL host github.com/tile-ai; GitHub API type=Organization,Enabling Lightning-Fast AI Workloads Development via Tiling,,
Open MPI,open-mpi,github.com,https://github.com/open-mpi,1,1,openMPI,url+github_api,,Resolved from URL host github.com/open-mpi; GitHub API type=Organization,,https://www.open-mpi.org,
lz4,lz4,github.com,https://github.com/lz4,1,1,LZ4,url+github_api,,Resolved from URL host github.com/lz4; GitHub API type=Organization,,,
zlib-ng,zlib-ng,github.com,https://github.com/zlib-ng,1,1,zlib-ng,url+github_api,,Resolved from URL host github.com/zlib-ng; GitHub API type=Organization,,,
tianocore,tianocore,github.com,https://github.com/tianocore,1,1,edk2,url+github_api,,Resolved from URL host github.com/tianocore; GitHub API type=Organization,,http://www.tianocore.org,
Open Information Security Foundation,OISF,github.com,https://github.com/OISF,1,1,Suricata,url+github_api,,Resolved from URL host github.com/OISF; GitHub API type=Organization,The Open Information Security Foundation manages Suricata IDS development.,https://www.oisf.net,world
Snort 3.0 Team,snort3,github.com,https://github.com/snort3,1,1,Snort,url+github_api,,Resolved from URL host github.com/snort3; GitHub API type=Organization,,,
ntop,ntop,github.com,https://github.com/ntop,1,1,nDPI,url+github_api,,Resolved from URL host github.com/ntop; GitHub API type=Organization,Open source network traffic monitoring software: http://t.me/ntop_community,http://www.ntop.org,Europe
Mzanzi Open Source Solutions,Distrotech,github.com,https://github.com/Distrotech,1,1,Gzip,url+github_api,,Resolved from URL host github.com/Distrotech; GitHub API type=Organization,,http://www.mzanziopensource.co.za,
DPDK,DPDK,github.com,https://github.com/DPDK,1,1,DPDK,url+github_api,,Resolved from URL host github.com/DPDK; GitHub API type=Organization,Data Plane Development Kit,dpdk.org,
videolan,videolan,code.videolan.org,https://code.videolan.org/videolan,1,1,X264,url,,Resolved from URL host code.videolan.org/videolan,,,
Storage Performance Development Kit,spdk,github.com,https://github.com/spdk,1,1,SPDK,url+github_api,,Resolved from URL host github.com/spdk; GitHub API type=Organization,,https://spdk.io,
OpenMathLib,OpenMathLib,github.com,https://github.com/OpenMathLib,1,1,OpenBLAS,url+github_api,,Resolved from URL host github.com/OpenMathLib; GitHub API type=Organization,,,
Lapack,Reference-LAPACK,github.com,https://github.com/Reference-LAPACK,1,1,lapack,url+github_api,,Resolved from URL host github.com/Reference-LAPACK; GitHub API type=Organization,LAPACK Linear Algebra PACKage,http://www.netlib.org/lapack,
NumPy,numpy,github.com,https://github.com/numpy,1,1,Numpy,url+github_api,,Resolved from URL host github.com/numpy; GitHub API type=Organization,,http://www.numpy.org/,
Intel® Corporation,intel,github.com,https://github.com/intel,1,1,ISA-L,url+github_api,,Resolved from URL host github.com/intel; GitHub API type=Organization,,,
Treangen Lab,treangenlab,github.com,https://github.com/treangenlab,1,1,EMU,url+github_api,,Resolved from URL host github.com/treangenlab; GitHub API type=Organization,Treangen Lab @ Rice University,www.treangenlab.com,United States of America
kupferlauncher,kupferlauncher,github.com,https://github.com/kupferlauncher,1,1,Binder,url+github_api,,Resolved from URL host github.com/kupferlauncher; GitHub API type=Organization,"Kupfer, Application Launcher and Document Access for Linux",https://kupferlauncher.github.io/,
Cisco Systems,cisco,github.com,https://github.com/cisco,1,1,OpenH264,url+github_api,,Resolved from URL host github.com/cisco; GitHub API type=Organization,Open Source Projects from Cisco Systems,https://cisco.com,
Xiph.Org Foundation,xiph,github.com,https://github.com/xiph,1,1,Opus,url+github_api,,Resolved from URL host github.com/xiph; GitHub API type=Organization,We develop free and open media codecs,https://xiph.org/,
libjpeg-turbo,libjpeg-turbo,github.com,https://github.com/libjpeg-turbo,1,1,libjpeg-turbo,url+github_api,,Resolved from URL host github.com/libjpeg-turbo; GitHub API type=Organization,SIMD-accelerated libjpeg-compatible JPEG codec library ,https://libjpeg-turbo.org,
ClickHouse,ClickHouse,github.com,https://github.com/ClickHouse,1,1,ClickHouse,url+github_api,,Resolved from URL host github.com/ClickHouse; GitHub API type=Organization,,https://clickhouse.com,United States of America
Alluxio,Alluxio,github.com,https://github.com/Alluxio,1,1,Alluxio,url+github_api,,Resolved from URL host github.com/Alluxio; GitHub API type=Organization,,https://www.alluxio.io/,
ranger,ranger,github.com,https://github.com/ranger,1,1,Ranger,url+github_api,,Resolved from URL host github.com/ranger; GitHub API type=Organization,,https://ranger.fm,
Presto,prestodb,github.com,https://github.com/prestodb,1,1,Presto,url+github_api,,Resolved from URL host github.com/prestodb; GitHub API type=Organization,Distributed SQL query engine for big data,http://prestodb.io,Linux Foundation
TDengine,taosdata,github.com,https://github.com/taosdata,1,1,TDengine,url+github_api,,Resolved from URL host github.com/taosdata; GitHub API type=Organization,"High-performance, scalable time-series database for Industrial IoT",https://tdengine.com,United States of America
Ceph,ceph,github.com,https://github.com/ceph,1,1,Ceph,url+github_api,,Resolved from URL host github.com/ceph; GitHub API type=Organization,,https://ceph.io/,"California, USA"
Gluster.org,gluster,github.com,https://github.com/gluster,1,1,GlusterFS,url+github_api,,Resolved from URL host github.com/gluster; GitHub API type=Organization,"Gluster is a software defined storage, which you can use for high-availability and other features as storage in Hybrid Cloud, Containers, or as NAS replacement.",https://www.gluster.org,
MinIO,minio,github.com,https://github.com/minio,1,1,MinIO,url+github_api,,Resolved from URL host github.com/minio; GitHub API type=Organization,"MinIO is a high-performance, S3 compatible object storage.",https://min.io,United States of America
MooseFS Distributed Storage • Distributed File System • Software-Defined Storage,moosefs,github.com,https://github.com/moosefs,1,1,MooseFS,url+github_api,,Resolved from URL host github.com/moosefs; GitHub API type=Organization,"MooseFS is Open Source, fault-tolerant, highly available and performing, scaling-out, petabyte Distributed Storage / Network Distributed File System / SDS",https://moosefs.com,
LizardFS,lizardfs,github.com,https://github.com/lizardfs,1,1,LizardFS,url+github_api,,Resolved from URL host github.com/lizardfs; GitHub API type=Organization,,https://lizardfs.org,Poland
Sheepdog,sheepdog,github.com,https://github.com/sheepdog,1,1,Sheepdog,url+github_api,,Resolved from URL host github.com/sheepdog; GitHub API type=Organization,,http://sheepdog.github.io/sheepdog/,
LINBIT,LINBIT,github.com,https://github.com/LINBIT,1,1,DRBD,url+github_api,,Resolved from URL host github.com/LINBIT; GitHub API type=Organization,,http://www.linbit.com,"Vienna, Austria/Beaverton, OR"
DAOS Storage Stack,daos-stack,github.com,https://github.com/daos-stack,1,1,DAOS,url+github_api,,Resolved from URL host github.com/daos-stack; GitHub API type=Organization,Distributed Asynchronous Object Storage,https://daosio.atlassian.net/wiki/spaces/DC/,
opencurve,opencurve,github.com,https://github.com/opencurve,1,1,CURVE,url+github_api,,Resolved from URL host github.com/opencurve; GitHub API type=Organization,,,
SeaweedFS,seaweedfs,github.com,https://github.com/seaweedfs,1,1,SeaweedFS,url+github_api,,Resolved from URL host github.com/seaweedfs; GitHub API type=Organization,,,San Francisco
Nextcloud,nextcloud,github.com,https://github.com/nextcloud,1,1,Docker,url+github_api,,Resolved from URL host github.com/nextcloud; GitHub API type=Organization,"📱☁️💻 A safe home for all your data – community-driven, free & open source 👏",https://nextcloud.com,Worldwide
Libvirt Virtualization API Project (Automated readonly mirror),libvirt,github.com,https://github.com/libvirt,1,1,libvirt,url+github_api,,Resolved from URL host github.com/libvirt; GitHub API type=Organization,This is an automated read-only mirror of the libvirt project. The master repositories accepting merge requests and issue reports are hosted on GitLab,https://gitlab.com/libvirt/,
