页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,reason,resolved_by,resolved_url,evidence,confidence
鲲鹏,188,Wireshark,基础库&加速库,https://github.com/wireshark/wireshark,valid,repo,,potential_mirror,L0-known,https://gitlab.com/wireshark/wireshark,official upstream is Wireshark GitLab,S
鲲鹏,198,APR,基础库&加速库,https://github.com/apache/apr,valid,repo,,potential_mirror,L0-known,https://github.com/apache/apr,Apache official mirror,S
鲲鹏,253,QuantumEspresso,HPC,https://github.com/qef/q-e,valid,repo,https://github.com/QEF/q-e,potential_mirror,L0-known,https://gitlab.com/QEF/q-e,official upstream is QEF GitLab,S
鲲鹏,254,GROMACS,HPC,https://github.com/gromacs/gromacs,valid,repo,,potential_mirror,L0-known,https://gitlab.com/gromacs/gromacs,official upstream is GROMACS GitLab,S
鲲鹏,284,ALLHiC,HPC,https://github.com/tanghaibao/allhic,valid,repo,,potential_mirror,L3-not_mirror,,"not confirmed as mirror: desc='Genome scaffolding based on HiC data in heterozygous and high ploidy genomes', homepage=''",S
鲲鹏,367,3FS(Xsky),分布式存储,https://github.com/3fs/3fs,not_found,repo,,not_found,L0-known,https://github.com/deepseek-ai/3FS,"repo is under deepseek-ai, not 3fs org",S
鲲鹏,369,JuiceFS(电信),分布式存储,https://github.com/juicefs/juicefs,not_found,repo,,not_found,L0-known,https://github.com/juicedata/juicefs,"repo is under juicedata, not juicefs org",S
鲲鹏,370,Mooncake(京东),分布式存储,https://github.com/mooncake-ai/mooncake,not_found,repo,,not_found,L0-known,https://github.com/kvcache-ai/Mooncake,"repo is under kvcache-ai, not mooncake-ai",S
鲲鹏,372,openvelinux(字节),虚拟化,https://github.com/openvelinux/openvelinux,not_found,repo,,not_found,L0-known,https://github.com/openvelinux,"is an org (openvelinux), not a single repo",S
鲲鹏,373,OpenCloudOS(腾讯),虚拟化,https://github.com/OpenCloudOS/OpenCloudOS,not_found,repo,,not_found,L0-known,https://github.com/OpenCloudOS,"is an org, not a single repo named OpenCloudOS",S
鲲鹏,374,CloudWeGo(字节),虚拟化,https://github.com/cloudwego/cloudwego,not_found,repo,,not_found,L0-known,https://github.com/cloudwego,"is an org (kitex/hertz/etc), not a single repo",S
鲲鹏,383,libwebp(京东),ARM原生,https://github.com/webmproject/libwebp,valid,repo,,potential_mirror,L3-mirror,https://chromium.googlesource.com/webm/libwebp,GitHub mirror_url field: 'https://chromium.googlesource.com/webm/libwebp',S
鲲鹏,386,vvenc(字节),ARM原生,https://github.com/ultravideo/vvenc,not_found,repo,,not_found,L0-known,https://github.com/fraunhoferhhi/vvenc,"repo is under fraunhoferhhi, not ultravideo",S
鲲鹏,391,XLA(京东),搜广推,https://github.com/tensorflow/xla,not_found,repo,,not_found,L0-known,https://github.com/openxla/xla,moved from tensorflow/xla to openxla/xla,S
鲲鹏,392,ScaNN(美团),搜广推,https://github.com/google/scaNN,not_found,repo,,not_found,L0-known,https://github.com/google-research/google-research/tree/master/scann,"ScaNN is a subdirectory inside google-research, not a standalone repo",S
鲲鹏,393,newpfordelta(美团),搜广推,https://github.com/newpfordelta/newpfordelta,not_found,repo,,not_found,LLM-WebSearch,,"Web Search: no repo found under Meituan or Meituan-Dianping orgs; project name not located",C
鲲鹏,394,RabitQ(字节),搜广推,https://github.com/rabitq/rabitq,not_found,repo,,not_found,L0-known,https://github.com/gaoj0017/RaBitQ,correct case is RaBitQ under gaoj0017,S
鲲鹏,397,Eigen(京东),搜广推,https://github.com/eigenteam/eigen-git-mirror （官方镜像）,valid,repo,,potential_mirror,L3-mirror,"mirror confirmed, upstream unknown","description: 'THIS MIRROR IS DEPRECATED -- New url: https://gitlab.com/libeigen/eigen', homepage: ''",B
鲲鹏,407,sonic-cpp(互联网),基础库&加速库,https://github.com/sonic-net/sonic-cpp,not_found,repo,,not_found,L0-known,https://github.com/bytedance/sonic-cpp,"repo is under bytedance, not sonic-net",S
鲲鹏,436,Geant4,HPC,https://github.com/Geant4/geant4,valid,repo,,potential_mirror,L0-known,https://gitlab.cern.ch/geant4/geant4,official upstream is CERN GitLab,S
鲲鹏,451,ROMS,HPC,https://github.com/myroms/roms,valid,repo,,potential_mirror,layer4_not_mirror,,"Not a mirror: description='Regional Ocean Modeling System (ROMS)', homepage='https://github.com/myroms/roms/wiki'",S
鲲鹏,469,Tophat2,HPC,https://github.com/infphilo/tophat,valid,repo,,potential_mirror,L0-known,https://ccb.jhu.edu/software/tophat/,"official site is JHU CCB, repo is unmaintained",S
鲲鹏,477,OpenMolcas,HPC,https://github.com/Molcas/OpenMolcas,valid,repo,,potential_mirror,L0-known,https://gitlab.com/Molcas/OpenMolcas,official upstream is Molcas GitLab,S
鲲鹏,561,PETSc,基础库&加速库,https://github.com/petsc/petsc,valid,repo,,potential_mirror,L0-known,https://gitlab.com/petsc/petsc,official upstream is PETSc GitLab,S
